(3227, 256, 5) (3227, 1)
Training Shape: (2879, 256, 5) (2879, 1)
Valid Shape: (348, 256, 5) (348, 1)
(2078, 256, 5) (2078, 1)
Training Shape: (1845, 256, 5) (1845, 1)
Valid Shape: (233, 256, 5) (233, 1)
E290: T:0.0006793063948862255 V:0.012607024051249027
E291: T:0.0007004195358604193 V:0.012458865530788898
E292: T:0.0007034219452179968 V:0.014036036096513271
E293: T:0.0006321623804979026 V:0.012368662282824516
E294: T:0.0006738351075910032 V:0.011442790739238262
E295: T:0.0006728108273819089 V:0.007705331780016422
E296: T:0.0006832387298345566 V:0.010505029000341892
E297: T:0.0006515152053907514 V:0.011667126789689064
E298: T:0.0006065357010811567 V:0.011339868418872356
E299: T:0.0005454039201140404 V:0.00860954076051712
E300: T:0.0006370178307406604 V:0.012349906377494335
E301: T:0.0007735543185845017 V:0.011871486902236938
E302: T:0.0006113539566285908 V:0.01499315444380045
E303: T:0.0006022937595844269 V:0.008978444151580334
E304: T:0.0005759460036642849 V:0.011487598530948162
E305: T:0.0006445515318773687 V:0.007914024405181408
E306: T:0.0006206614198163152 V:0.009027170948684216
E307: T:0.0005558808334171772 V:0.011446806602180004
E308: T:0.0006110664107836783 V:0.010060387663543224
E309: T:0.0005911788903176785 V:0.008430452086031437
E310: T:0.0031680443789809942 V:0.02167351543903351
E311: T:0.0033412149641662836 V:0.01179374847561121
E312: T:0.0024044879246503115 V:0.010353072546422482
E313: T:0.002349828602746129 V:0.00911011267453432
E314: T:0.002259202767163515 V:0.012808513827621937
E315: T:0.0022607918363064528 V:0.014959779568016529
E316: T:0.002167756436392665 V:0.012899029068648815
E317: T:0.0018181292107328773 V:0.021231316030025482
E318: T:0.0011361809447407722 V:0.013104627840220928
E319: T:0.0010825979989022017 V:0.01973460614681244
E320: T:0.0009475334663875401 V:0.018572524189949036
E321: T:0.0007560558151453733 V:0.015750642865896225
E322: T:0.0006120478501543403 V:0.011423854157328606
E323: T:0.0007354642730206251 V:0.011137290857732296
E324: T:0.0006136854062788188 V:0.015018194913864136
E325: T:0.0006644736276939511 V:0.01254445593804121
E326: T:0.0005958131514489651 V:0.011492881923913956
E327: T:0.0006223766249604523 V:0.01451692171394825
E328: T:0.0006307424046099186 V:0.010956951417028904
E329: T:0.0005750423297286034 V:0.010150167159736156
E330: T:0.000638163008261472 V:0.009489263407886028
E331: T:0.0005965520977042615 V:0.011665571480989456
E332: T:0.0005899994866922498 V:0.010436037555336952
E333: T:0.0005762982182204723 V:0.014904716983437538
E334: T:0.0005856995703652501 V:0.010872183367609978
E335: T:0.000559748150408268 V:0.010264386422932148
E336: T:0.0005767095135524869 V:0.01344083622097969
E337: T:0.0005848587024956942 V:0.010396484285593033
E338: T:0.0005621360032819211 V:0.008533060550689697
E339: T:0.0006198082119226456 V:0.014275234192609787
E340: T:0.0006386589375324547 V:0.0116721848025918
E341: T:0.0005510745686478913 V:0.010034261271357536
E342: T:0.000570375588722527 V:0.010854828171432018
E343: T:0.0006620698841288686 V:0.009958440437912941
E344: T:0.0005963121657259762 V:0.008795931935310364
E345: T:0.000657231779769063 V:0.015332294628024101
E346: T:0.0005731921992264688 V:0.013145082630217075
E347: T:0.0005309801199473441 V:0.013867298141121864
E348: T:0.0005407647113315761 V:0.01127195730805397
E349: T:0.0005994315724819899 V:0.015405237674713135
E350: T:0.0005696046282537282 V:0.01041873637586832
E351: T:0.0005614028195850551 V:0.010733264498412609
E352: T:0.000555544625967741 V:0.009778546169400215
E353: T:0.0006386390887200832 V:0.014260278083384037
E354: T:0.0006009031203575432 V:0.012650738470256329
E355: T:0.0006210685824044049 V:0.012458796612918377
E356: T:0.0005454274360090494 V:0.013156039640307426
E357: T:0.0005765414680354297 V:0.01090085506439209
E358: T:0.0005384561372920871 V:0.013201032765209675
E359: T:0.0005630138330161572 V:0.009725811891257763
E360: T:0.0005067377933301032 V:0.010684932582080364
E361: T:0.0005347682163119316 V:0.010616561397910118
E362: T:0.0005388162680901587 V:0.013187034986913204
E363: T:0.0005797989433631301 V:0.012418761849403381
