(3227, 256, 4) (3227, 1)
Training Shape: (2879, 256, 4) (2879, 1)
Valid Shape: (348, 256, 4) (348, 1)
(2078, 256, 4) (2078, 1)
Training Shape: (1845, 256, 4) (1845, 1)
Valid Shape: (233, 256, 4) (233, 1)
E203: T:0.05617246404290199 V:0.1056329607963562
E204: T:0.05620989948511124 V:0.09362811595201492
E205: T:0.056233786046504974 V:0.09791386872529984
E206: T:0.0562906488776207 V:0.11052940785884857
E207: T:0.05627879127860069 V:0.10496263206005096
E208: T:0.05622916668653488 V:0.10352852195501328
E209: T:0.056275542825460434 V:0.0885341539978981
E210: T:0.05637091025710106 V:0.09744028002023697
E211: T:0.05627591162919998 V:0.10159962624311447
E212: T:0.056373998522758484 V:0.08942174166440964
E213: T:0.05607643723487854 V:0.10425180941820145
E214: T:0.05642654001712799 V:0.1027233749628067
E215: T:0.056159600615501404 V:0.09796163439750671
E216: T:0.05625246837735176 V:0.11646877229213715
E217: T:0.056244440376758575 V:0.09108634293079376
E218: T:0.05623941123485565 V:0.10129232704639435
E219: T:0.05621190369129181 V:0.10392767935991287
E220: T:0.05631343275308609 V:0.10151799023151398
E221: T:0.05631675198674202 V:0.1007324680685997
E222: T:0.05628034844994545 V:0.10629613697528839
E223: T:0.05615469068288803 V:0.08561771363019943
E224: T:0.05606601759791374 V:0.09623180329799652
E225: T:0.05627250671386719 V:0.08496003597974777
E226: T:0.05622656270861626 V:0.10806813836097717
E227: T:0.0561542734503746 V:0.09286041557788849
E228: T:0.056302666664123535 V:0.08589284121990204
E229: T:0.0561002679169178 V:0.08430672436952591
E230: T:0.056245896965265274 V:0.1007935181260109
E231: T:0.05621335282921791 V:0.105198435485363
E232: T:0.056154847145080566 V:0.09656190872192383
E233: T:0.05616740882396698 V:0.10876300185918808
E234: T:0.05623879283666611 V:0.09412338584661484
E235: T:0.05613306537270546 V:0.09157264232635498
E236: T:0.05633172765374184 V:0.10931219905614853
E237: T:0.05633174628019333 V:0.10362358391284943
E238: T:0.05620156228542328 V:0.09182523936033249
E239: T:0.056118082255125046 V:0.09787847101688385
E240: T:0.05615617334842682 V:0.1050715446472168
E241: T:0.056320786476135254 V:0.09261775016784668
E242: T:0.05615365505218506 V:0.09606841206550598
E243: T:0.05605108663439751 V:0.10495012998580933
E244: T:0.056091271340847015 V:0.09152928739786148
E245: T:0.05615405738353729 V:0.09299185127019882
E246: T:0.05611716955900192 V:0.08841607719659805
E247: T:0.056180279701948166 V:0.10590631514787674
E248: T:0.05633380636572838 V:0.09959704428911209
E249: T:0.05618194863200188 V:0.09921377152204514
E250: T:0.05623403191566467 V:0.09649106860160828
E251: T:0.05623342841863632 V:0.09585411846637726
E252: T:0.056211214512586594 V:0.09361261129379272
E253: T:0.056430768221616745 V:0.11155625432729721
E254: T:0.05619538947939873 V:0.10493943095207214
E255: T:0.05607416853308678 V:0.09402692317962646
E256: T:0.056270863860845566 V:0.10290617495775223
E257: T:0.05610128492116928 V:0.1047186404466629
E258: T:0.056110188364982605 V:0.10889234393835068
E259: T:0.05606772005558014 V:0.08669676631689072
E260: T:0.056093327701091766 V:0.10155616700649261
E261: T:0.056160856038331985 V:0.11192171275615692
E262: T:0.05609072372317314 V:0.09781686961650848
E263: T:0.05633657053112984 V:0.1178729385137558
E264: T:0.056223079562187195 V:0.09948720782995224
E265: T:0.056227751076221466 V:0.1001429408788681
E266: T:0.05618498846888542 V:0.09516595304012299
E267: T:0.05618089810013771 V:0.10556251555681229
E268: T:0.05614306032657623 V:0.10416816174983978
E269: T:0.0562451034784317 V:0.10522028803825378
E270: T:0.05617375299334526 V:0.09090379625558853
E271: T:0.05617918819189072 V:0.1082506850361824
E272: T:0.056068699806928635 V:0.09576436132192612
E273: T:0.05622756481170654 V:0.09818118065595627
E274: T:0.056141022592782974 V:0.09262516349554062
E275: T:0.056459151208400726 V:0.10812845081090927
E276: T:0.0561549998819828 V:0.10622762143611908
E277: T:0.05619500204920769 V:0.09932123124599457
E278: T:0.056199345737695694 V:0.10296247899532318
E279: T:0.056107450276613235 V:0.10243890434503555
E280: T:0.056043025106191635 V:0.09479400515556335
E281: T:0.05643036216497421 V:0.09595434367656708
E282: T:0.056142035871744156 V:0.09534743428230286
E283: T:0.056208688765764236 V:0.10531514883041382
E284: T:0.05607890710234642 V:0.0944996103644371
E285: T:0.0560806579887867 V:0.10677552223205566
E286: T:0.05609080567955971 V:0.0890607163310051
E287: T:0.05629505589604378 V:0.09139151126146317
E288: T:0.05616377666592598 V:0.09260732680559158
E289: T:0.05610065907239914 V:0.09658821672201157
E290: T:0.05614522472023964 V:0.09583111852407455
E291: T:0.056145694106817245 V:0.09869567304849625
E292: T:0.05622138828039169 V:0.1195453330874443
E293: T:0.05625007674098015 V:0.10046456009149551
E294: T:0.05603666603565216 V:0.1002965047955513
E295: T:0.056120410561561584 V:0.09942416101694107
E296: T:0.056086696684360504 V:0.09838541597127914
E297: T:0.05632205307483673 V:0.1016615778207779
E298: T:0.05615890398621559 V:0.0931447297334671
E299: T:0.05635887384414673 V:0.10060515999794006
E300: T:0.05618852749466896 V:0.10669925063848495
E301: T:0.056181490421295166 V:0.09549888223409653
E302: T:0.05611642822623253 V:0.10200285911560059
E303: T:0.056116994470357895 V:0.09018737822771072
E304: T:0.056336287409067154 V:0.10715361684560776
