Training Shape: (1973, 256, 5) (1973, 1)
Valid Shape: (581, 256, 5) (581, 1)
Training Shape: (1238, 256, 5) (1238, 1)
Valid Shape: (305, 256, 5) (305, 1)
E192: T:0.00018080089648719877 V:0.13009856641292572
E193: T:0.00016200308164115995 V:0.15489983558654785
E194: T:0.00021517151617445052 V:0.10904958099126816
E195: T:0.00017733070126269013 V:0.14054302871227264
E196: T:0.00016958716150838882 V:0.13543395698070526
E197: T:0.00018797346274368465 V:0.13587042689323425
E198: T:0.00017439457587897778 V:0.1613667905330658
E199: T:0.00016897245950531214 V:0.10420224070549011
E200: T:0.00016774564574006945 V:0.16074495017528534
E201: T:0.00019056792370975018 V:0.1464209407567978
E202: T:0.0001918350753840059 V:0.1351945400238037
E203: T:0.00018654494488146156 V:0.12400723993778229
E204: T:0.00015888169582467526 V:0.1634478121995926
E205: T:0.00018355119391344488 V:0.15024730563163757
E206: T:0.00016109165153466165 V:0.14089474081993103
E207: T:0.0002106434985762462 V:0.1319095343351364
E208: T:0.00017995953385252506 V:0.1304721236228943
E209: T:0.00019091401190962642 V:0.12774015963077545
E210: T:0.0001766891364241019 V:0.17084532976150513
E211: T:0.00016185877029784024 V:0.12462523579597473
E212: T:0.0001743580651236698 V:0.19793610274791718
E213: T:0.00018073752289637923 V:0.14953623712062836
E214: T:0.0001506905973656103 V:0.12510906159877777
E215: T:0.00018119359447155148 V:0.1667291671037674
E216: T:0.0001554411865072325 V:0.12469878047704697
E217: T:0.00015716347843408585 V:0.15602850914001465
E218: T:0.0001673384103924036 V:0.162510946393013
E219: T:0.00015993454144336283 V:0.11602813750505447
E220: T:0.00015154777793213725 V:0.17147038877010345
E221: T:0.00015447761688847095 V:0.15440396964550018
E222: T:0.00014402905071619898 V:0.15695849061012268
E223: T:0.00016028153186198324 V:0.1085321307182312
E224: T:0.00019394552509766072 V:0.1637531965970993
E225: T:0.00016721384599804878 V:0.11582402139902115
E226: T:0.00018139585154131055 V:0.1185164600610733
E227: T:0.0001939899375429377 V:0.11683251708745956
E228: T:0.00015578985039610416 V:0.11627408862113953
E229: T:0.00019399555458221585 V:0.13917991518974304
E230: T:0.00017137972463387996 V:0.1395677775144577
E231: T:0.00015438701666425914 V:0.15370114147663116
E232: T:0.00016045101801864803 V:0.1254696249961853
E233: T:0.00016939846682362258 V:0.15531261265277863
E234: T:0.00014855530753266066 V:0.14164309203624725
E235: T:0.0001492334413342178 V:0.08260484784841537
E236: T:0.00017049886810127646 V:0.10829237103462219
E237: T:0.00016229719039984047 V:0.11094661802053452
E238: T:0.00016245355072896928 V:0.15880043804645538
E239: T:0.0001548704894958064 V:0.10192617028951645
E240: T:0.00014003801334183663 V:0.053040746599435806
E241: T:0.00021927648049313575 V:0.09523440897464752
E242: T:0.0001631246559554711 V:0.144072487950325
E243: T:0.00016787296044640243 V:0.151052787899971
E244: T:0.0001430914708180353 V:0.13639700412750244
E245: T:0.0001481591898482293 V:0.1343962848186493
E246: T:0.00014202442253008485 V:0.12590280175209045
E247: T:0.00013102279626764357 V:0.1222914531826973
E248: T:0.00015782340778969228 V:0.14235466718673706
E249: T:0.00012735702330246568 V:0.1590704321861267
E250: T:0.00012564327334985137 V:0.15713177621364594
E251: T:0.00015063307364471257 V:0.12657231092453003
E252: T:0.00014669392840005457 V:0.1288398802280426
E253: T:0.00013934518210589886 V:0.12552973628044128
E254: T:0.00014112205826677382 V:0.10061483830213547
E255: T:0.00017500050307717174 V:0.10709958523511887
E256: T:0.0001480045757489279 V:0.11877331882715225
E257: T:0.00013475195737555623 V:0.11181504279375076
E258: T:0.00013371703971643 V:0.12980125844478607
E259: T:0.00015291121962945908 V:0.11753442138433456
E260: T:0.00015024548338260502 V:0.1259063333272934
E261: T:0.00012838987458962947 V:0.11394013464450836
E262: T:0.00014147974434308708 V:0.13363787531852722
E263: T:0.00015753830666653812 V:0.1341066211462021
E264: T:0.00012877106200903654 V:0.09075437486171722
E265: T:0.00013992327149026096 V:0.12246784567832947
E266: T:0.00013732229126617312 V:0.09369882941246033
E267: T:0.00011548501788638532 V:0.12043317407369614
